ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T16:13:58.144428Z,embb,uesimtun0,9112,121,12900,167,,1,1
2025-11-25T16:13:58.144428Z,urllc,uesimtun1,16507,273,107445336,1167958,,1,1
2025-11-25T16:13:58.144428Z,mmtc,uesimtun2,27417,446,46224679,34039,,1,1
2025-11-25T16:13:58.394502Z,embb,uesimtun0,9196,122,12984,168,,1,1
2025-11-25T16:13:58.394502Z,urllc,uesimtun1,16591,274,108735712,1181984,,1,1
2025-11-25T16:13:58.394502Z,mmtc,uesimtun2,27501,447,46976119,34587,,1,1
2025-11-25T16:13:58.644390Z,embb,uesimtun0,9196,122,13068,169,,1,1
2025-11-25T16:13:58.644390Z,urllc,uesimtun1,16675,275,109231216,1187370,,1,1
2025-11-25T16:13:58.644390Z,mmtc,uesimtun2,27585,448,47265163,34798,,1,1
2025-11-25T16:13:58.894451Z,embb,uesimtun0,9364,124,13236,171,,1,1
2025-11-25T16:13:58.894451Z,urllc,uesimtun1,17100,282,110125325,1197090,,1,1
2025-11-25T16:13:58.894451Z,mmtc,uesimtun2,27837,451,47771783,35169,,1,1
2025-11-25T16:13:59.144461Z,embb,uesimtun0,9532,126,13404,173,,1,1
2025-11-25T16:13:59.144461Z,urllc,uesimtun1,17184,283,111016981,1206782,,1,1
2025-11-25T16:13:59.144461Z,mmtc,uesimtun2,28142,455,48186372,35476,,1,1
2025-11-25T16:13:59.394454Z,embb,uesimtun0,9616,127,13536,175,,1,1
2025-11-25T16:13:59.394454Z,urllc,uesimtun1,17268,284,112332941,1221086,,1,1
2025-11-25T16:13:59.394454Z,mmtc,uesimtun2,28844,462,48187177,35485,,1,1
2025-11-25T16:13:59.644427Z,embb,uesimtun0,9616,127,13620,176,,1,1
2025-11-25T16:13:59.644427Z,urllc,uesimtun1,17352,285,112821361,1226395,,1,1
2025-11-25T16:13:59.644427Z,mmtc,uesimtun2,29093,466,48187570,35491,,1,1
2025-11-25T16:13:59.894662Z,embb,uesimtun0,9868,130,13872,179,,1,1
2025-11-25T16:13:59.894662Z,urllc,uesimtun1,17520,287,113714069,1236099,,1,1
2025-11-25T16:13:59.894662Z,mmtc,uesimtun2,30086,485,48190028,35508,,1,1
2025-11-25T16:14:00.144975Z,embb,uesimtun0,10204,134,14208,183,,1,1
2025-11-25T16:14:00.144975Z,urllc,uesimtun1,17901,294,114604559,1245780,,1,1
2025-11-25T16:14:00.144975Z,mmtc,uesimtun2,30679,494,48190617,35516,,1,1
2025-11-25T16:14:00.432700Z,embb,uesimtun0,10288,135,14292,184,,1,1
2025-11-25T16:14:00.432700Z,urllc,uesimtun1,18158,299,116064200,1261647,,1,1
2025-11-25T16:14:00.432700Z,mmtc,uesimtun2,30679,494,48192137,35519,,1,1
2025-11-25T16:14:00.682998Z,embb,uesimtun0,10288,135,14376,185,,1,1
2025-11-25T16:14:00.682998Z,urllc,uesimtun1,18499,305,116965217,1271442,,1,1
2025-11-25T16:14:00.682998Z,mmtc,uesimtun2,31020,500,48192606,35526,,1,1
2025-11-25T16:14:00.932777Z,embb,uesimtun0,10456,137,14544,187,,1,1
2025-11-25T16:14:00.932777Z,urllc,uesimtun1,18499,305,117443241,1276638,,1,1
2025-11-25T16:14:00.932777Z,mmtc,uesimtun2,31104,501,48192690,35527,,1,1
2025-11-25T16:14:01.183484Z,embb,uesimtun0,10792,141,14880,191,,1,1
2025-11-25T16:14:01.183484Z,urllc,uesimtun1,18751,308,118357597,1286577,,1,1
2025-11-25T16:14:01.183484Z,mmtc,uesimtun2,31445,507,48193027,35532,,1,1
2025-11-25T16:14:01.433209Z,embb,uesimtun0,10960,143,15048,193,,1,1
2025-11-25T16:14:01.433209Z,urllc,uesimtun1,18835,309,119410437,1298021,,1,1
2025-11-25T16:14:01.433209Z,mmtc,uesimtun2,31673,510,48194832,35539,,1,1
2025-11-25T16:14:01.682911Z,embb,uesimtun0,11044,144,15132,194,,1,1
2025-11-25T16:14:01.682911Z,urllc,uesimtun1,18919,310,120521605,1310099,,1,1
2025-11-25T16:14:01.682911Z,mmtc,uesimtun2,32291,522,48195266,35546,,1,1
2025-11-25T16:14:01.932745Z,embb,uesimtun0,11212,146,15300,196,,1,1
2025-11-25T16:14:01.932745Z,urllc,uesimtun1,19087,312,121042217,1315758,,1,1
2025-11-25T16:14:01.932745Z,mmtc,uesimtun2,32672,529,48197032,35553,,1,1
2025-11-25T16:14:02.183346Z,embb,uesimtun0,11296,147,15384,197,,1,1
2025-11-25T16:14:02.183346Z,urllc,uesimtun1,19584,320,121944696,1325570,,1,1
2025-11-25T16:14:02.183346Z,mmtc,uesimtun2,32756,530,48197116,35554,,1,1
2025-11-25T16:14:02.432965Z,embb,uesimtun0,11380,148,15552,199,,1,1
2025-11-25T16:14:02.432965Z,urllc,uesimtun1,19668,321,122903512,1335992,,1,1
2025-11-25T16:14:02.432965Z,mmtc,uesimtun2,32840,531,48197200,35555,,1,1
2025-11-25T16:14:02.683139Z,embb,uesimtun0,11464,149,15636,200,,1,1
2025-11-25T16:14:02.683139Z,urllc,uesimtun1,20334,334,123765288,1345363,,1,1
2025-11-25T16:14:02.683139Z,mmtc,uesimtun2,33181,537,48198913,35561,,1,1
2025-11-25T16:14:02.932878Z,embb,uesimtun0,11632,151,15804,202,,1,1
2025-11-25T16:14:02.932878Z,urllc,uesimtun1,20502,336,124291412,1351082,,1,1
2025-11-25T16:14:02.932878Z,mmtc,uesimtun2,33349,539,48199141,35564,,1,1
2025-11-25T16:14:03.183024Z,embb,uesimtun0,11716,152,15888,203,,1,1
2025-11-25T16:14:03.183024Z,urllc,uesimtun1,20670,338,125176896,1360707,,1,1
2025-11-25T16:14:03.183024Z,mmtc,uesimtun2,33938,549,48199691,35572,,1,1
2025-11-25T16:14:03.433228Z,embb,uesimtun0,11884,154,16056,205,,1,1
2025-11-25T16:14:03.433228Z,urllc,uesimtun1,20754,339,126498192,1375069,,1,1
2025-11-25T16:14:03.433228Z,mmtc,uesimtun2,34022,550,48201151,35574,,1,1
2025-11-25T16:14:03.682870Z,embb,uesimtun0,11884,154,16140,206,,1,1
2025-11-25T16:14:03.682870Z,urllc,uesimtun1,20838,340,127332532,1384138,,1,1
2025-11-25T16:14:03.682870Z,mmtc,uesimtun2,34106,551,48201235,35575,,1,1
2025-11-25T16:14:03.932916Z,embb,uesimtun0,12052,156,16308,208,,1,1
2025-11-25T16:14:03.932916Z,urllc,uesimtun1,21090,343,127871076,1389992,,1,1
2025-11-25T16:14:03.932916Z,mmtc,uesimtun2,34274,553,48202779,35578,,1,1
2025-11-25T16:14:04.182754Z,embb,uesimtun0,12136,157,16392,209,,1,1
2025-11-25T16:14:04.182754Z,urllc,uesimtun1,21174,344,128779016,1399861,,1,1
2025-11-25T16:14:04.182754Z,mmtc,uesimtun2,34526,556,48203115,35582,,1,1
2025-11-25T16:14:04.433225Z,embb,uesimtun0,12220,158,16476,210,,1,1
2025-11-25T16:14:04.433225Z,urllc,uesimtun1,21599,351,130061733,1413805,,1,1
2025-11-25T16:14:04.433225Z,mmtc,uesimtun2,34610,557,48203199,35583,,1,1
2025-11-25T16:14:04.682858Z,embb,uesimtun0,12220,158,16560,211,,1,1
2025-11-25T16:14:04.682858Z,urllc,uesimtun1,21683,352,130868473,1422574,,1,1
2025-11-25T16:14:04.682858Z,mmtc,uesimtun2,34694,558,48204659,35585,,1,1
2025-11-25T16:14:04.933277Z,embb,uesimtun0,12388,160,16728,213,,1,1
2025-11-25T16:14:04.933277Z,urllc,uesimtun1,21851,354,131439685,1428783,,1,1
2025-11-25T16:14:04.933277Z,mmtc,uesimtun2,35416,570,48205634,35596,,1,1
2025-11-25T16:14:05.182926Z,embb,uesimtun0,12640,163,16980,216,,1,1
2025-11-25T16:14:05.182926Z,urllc,uesimtun1,21935,355,132371361,1438910,,1,1
2025-11-25T16:14:05.182926Z,mmtc,uesimtun2,36038,575,48206147,35604,,1,1
2025-11-25T16:14:05.432859Z,embb,uesimtun0,12724,164,17064,217,,1,1
2025-11-25T16:14:05.432859Z,urllc,uesimtun1,22019,356,133474669,1450903,,1,1
2025-11-25T16:14:05.432859Z,mmtc,uesimtun2,36122,576,48206231,35605,,1,1
2025-11-25T16:14:05.682964Z,embb,uesimtun0,12808,165,17148,218,,1,1
2025-11-25T16:14:05.682964Z,urllc,uesimtun1,22103,357,134428393,1461270,,1,1
2025-11-25T16:14:05.682964Z,mmtc,uesimtun2,36614,585,48755954,36014,,1,1
2025-11-25T16:14:05.932951Z,embb,uesimtun0,12892,166,17232,219,,1,1
2025-11-25T16:14:05.932951Z,urllc,uesimtun1,22187,358,135034849,1467862,,1,1
2025-11-25T16:14:05.932951Z,mmtc,uesimtun2,36698,586,49280462,36398,,1,1
2025-11-25T16:14:06.182976Z,embb,uesimtun0,13312,171,17652,224,,1,1
2025-11-25T16:14:06.182976Z,urllc,uesimtun1,22981,372,135938080,1477683,,1,1
2025-11-25T16:14:06.182976Z,mmtc,uesimtun2,36866,588,50085506,36984,,1,1
2025-11-25T16:14:06.432882Z,embb,uesimtun0,13396,172,17736,225,,1,1
2025-11-25T16:14:06.432882Z,urllc,uesimtun1,23065,373,137020352,1489447,,1,1
2025-11-25T16:14:06.432882Z,mmtc,uesimtun2,36866,588,51079062,37707,,1,1
2025-11-25T16:14:06.682930Z,embb,uesimtun0,13480,173,17820,226,,1,1
2025-11-25T16:14:06.682930Z,urllc,uesimtun1,24233,396,138059511,1500749,,1,1
2025-11-25T16:14:06.682930Z,mmtc,uesimtun2,36950,589,52006570,38382,,1,1
2025-11-25T16:14:06.932813Z,embb,uesimtun0,13648,175,17988,228,,1,1
2025-11-25T16:14:06.932813Z,urllc,uesimtun1,24317,397,138645727,1507121,,1,1
2025-11-25T16:14:06.932813Z,mmtc,uesimtun2,37094,591,52528359,38765,,1,1
2025-11-25T16:14:07.182950Z,embb,uesimtun0,13900,178,18240,231,,1,1
2025-11-25T16:14:07.182950Z,urllc,uesimtun1,24653,401,139530367,1516737,,1,1
2025-11-25T16:14:07.182950Z,mmtc,uesimtun2,37527,598,53328639,39358,,1,1
2025-11-25T16:14:07.432867Z,embb,uesimtun0,13984,179,18324,232,,1,1
2025-11-25T16:14:07.432867Z,urllc,uesimtun1,24737,402,140734915,1529830,,1,1
