ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,tcp_rtt_ms,probe_loss,tun_exists
2025-11-25T17:15:25.000452Z,urllc,uesimtun1,143869,1736,145368,1759,1.126,0,1
2025-11-25T17:15:25.000452Z,mmtc,uesimtun2,144560,1743,146900,1796,1.179,0,1
2025-11-25T17:15:25.250339Z,embb,uesimtun0,145086,1750,147560,1807,19.139,0,1
2025-11-25T17:15:25.250339Z,urllc,uesimtun1,144034,1739,145612,1764,1.521,0,1
2025-11-25T17:15:25.250339Z,mmtc,uesimtun2,144700,1746,147064,1799,,1,1
2025-11-25T17:15:25.570799Z,embb,uesimtun0,145251,1753,147804,1812,1.385,0,1
2025-11-25T17:15:25.570799Z,urllc,uesimtun1,144199,1742,145856,1769,0.906,0,1
2025-11-25T17:15:25.570799Z,mmtc,uesimtun2,144740,1747,147124,1800,0.880,0,1
2025-11-25T17:15:25.750825Z,embb,uesimtun0,145416,1756,148048,1817,1.280,0,1
2025-11-25T17:15:25.750825Z,urllc,uesimtun1,144339,1745,146020,1772,,1,1
2025-11-25T17:15:25.750825Z,mmtc,uesimtun2,144957,1751,147368,1805,1.039,0,1
2025-11-25T17:15:26.000468Z,embb,uesimtun0,145581,1759,148292,1822,1.357,0,1
2025-11-25T17:15:26.000468Z,urllc,uesimtun1,144379,1746,146080,1773,1.014,0,1
2025-11-25T17:15:26.000468Z,mmtc,uesimtun2,145122,1754,147612,1810,1.223,0,1
2025-11-25T17:15:26.250769Z,embb,uesimtun0,145746,1762,148536,1827,1.256,0,1
2025-11-25T17:15:26.250769Z,urllc,uesimtun1,144544,1749,146324,1778,0.959,0,1
2025-11-25T17:15:26.250769Z,mmtc,uesimtun2,145287,1757,147856,1815,0.998,0,1
2025-11-25T17:15:26.499988Z,embb,uesimtun0,145911,1765,148780,1832,49.627,0,1
2025-11-25T17:15:26.499988Z,urllc,uesimtun1,144684,1752,146488,1781,0.909,0,1
2025-11-25T17:15:26.499988Z,mmtc,uesimtun2,145504,1761,148100,1820,1.016,0,1
2025-11-25T17:15:26.750535Z,embb,uesimtun0,146076,1768,149024,1837,1.355,0,1
2025-11-25T17:15:26.750535Z,urllc,uesimtun1,144849,1755,146732,1786,0.934,0,1
2025-11-25T17:15:26.750535Z,mmtc,uesimtun2,145669,1764,148344,1825,0.930,0,1
2025-11-25T17:15:27.000769Z,embb,uesimtun0,146241,1771,149268,1842,1.368,0,1
2025-11-25T17:15:27.000769Z,urllc,uesimtun1,144989,1758,146896,1789,1.131,0,1
2025-11-25T17:15:27.000769Z,mmtc,uesimtun2,145834,1767,148588,1830,1.180,0,1
