ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T15:43:13.752194Z,urllc,uesimtun2,317153,5621,1658842589,11211318,1.560,0,1
2025-11-25T15:43:14.751957Z,embb,uesimtun0,1774895,35352,9743251697,7110202,,1,1
2025-11-25T15:43:14.751957Z,mmtc,uesimtun1,445045,7827,774782816,570638,1.472,0,1
2025-11-25T15:43:14.751957Z,urllc,uesimtun2,318842,5655,1661921599,11232139,1.710,0,1
2025-11-25T15:43:15.752201Z,embb,uesimtun0,1778109,35416,9756028654,7119542,,1,1
2025-11-25T15:43:15.752201Z,mmtc,uesimtun1,445257,7830,776548436,571924,2.391,0,1
2025-11-25T15:43:15.752201Z,urllc,uesimtun2,319054,5658,1665008351,11252997,1.776,0,1
2025-11-25T15:43:16.809284Z,embb,uesimtun0,1781135,35475,9766621577,7127289,,1,1
2025-11-25T15:43:16.809284Z,mmtc,uesimtun1,446609,7857,778411705,573302,76.262,0,1
2025-11-25T15:43:16.809284Z,urllc,uesimtun2,319523,5666,1668332156,11275459,1.894,0,1
2025-11-25T15:43:17.751464Z,embb,uesimtun0,1784743,35548,9781542826,7138195,,1,1
2025-11-25T15:43:17.751464Z,mmtc,uesimtun1,448414,7887,778606316,573471,1.915,0,1
2025-11-25T15:43:17.751464Z,urllc,uesimtun2,319651,5668,1671008356,11293543,1.528,0,1
2025-11-25T15:43:18.751897Z,embb,uesimtun0,1788319,35619,9794315914,7147536,,1,1
2025-11-25T15:43:18.751897Z,mmtc,uesimtun1,449941,7917,778623248,573510,71.136,0,1
2025-11-25T15:43:18.751897Z,urllc,uesimtun2,320606,5687,1674306217,11315836,1.779,0,1
2025-11-25T15:43:19.752140Z,embb,uesimtun0,1791991,35693,9807082314,7156876,,1,1
2025-11-25T15:43:19.752140Z,mmtc,uesimtun1,450270,7924,778642862,573530,105.329,0,1
2025-11-25T15:43:19.752140Z,urllc,uesimtun2,321757,5709,1677499071,11337421,1.760,0,1
2025-11-25T15:43:20.751859Z,embb,uesimtun0,1795121,35756,9819842737,7166204,122.104,0,1
2025-11-25T15:43:20.751859Z,mmtc,uesimtun1,450723,7933,778659944,573551,1.772,0,1
2025-11-25T15:43:20.751859Z,urllc,uesimtun2,322254,5718,1679866849,11353424,2.111,0,1
2025-11-25T15:43:21.752123Z,embb,uesimtun0,1798084,35816,9832608205,7175528,,1,1
2025-11-25T15:43:21.752123Z,mmtc,uesimtun1,451428,7945,778681407,573578,1.569,0,1
2025-11-25T15:43:21.752123Z,urllc,uesimtun2,322466,5721,1683345061,11376927,1.758,0,1
2025-11-25T15:43:22.751378Z,embb,uesimtun0,1801487,35883,9843061102,7183179,,1,1
2025-11-25T15:43:22.751378Z,mmtc,uesimtun1,451977,7955,778701469,573604,136.003,0,1
2025-11-25T15:43:22.751378Z,urllc,uesimtun2,322851,5728,1686842002,11400559,,1,1
2025-11-25T15:43:23.752075Z,embb,uesimtun0,1803823,35927,9858132449,7194173,,1,1
2025-11-25T15:43:23.752075Z,mmtc,uesimtun1,452947,7973,778721601,573632,24.541,0,1
2025-11-25T15:43:23.752075Z,urllc,uesimtun2,323734,5745,1689584198,11419096,1.731,0,1
2025-11-25T15:43:24.751502Z,embb,uesimtun0,1807765,36006,9870882513,7203503,,1,1
2025-11-25T15:43:24.751502Z,mmtc,uesimtun1,453930,7993,778741971,573664,46.833,0,1
2025-11-25T15:43:24.751502Z,urllc,uesimtun2,324030,5749,1692735710,11440392,1.572,0,1
2025-11-25T15:43:25.752012Z,embb,uesimtun0,1812143,36096,9883657871,7212861,,1,1
2025-11-25T15:43:25.752012Z,mmtc,uesimtun1,455539,8025,778761488,573703,1.603,0,1
2025-11-25T15:43:25.752012Z,urllc,uesimtun2,324326,5753,1695683574,11460312,1.838,0,1
2025-11-25T15:43:26.752060Z,embb,uesimtun0,1817022,36194,9896422694,7222218,,1,1
2025-11-25T15:43:26.752060Z,mmtc,uesimtun1,456662,8046,778781913,573735,1.868,0,1
2025-11-25T15:43:26.752060Z,urllc,uesimtun2,325136,5767,1698764404,11481135,2.128,0,1
2025-11-25T15:43:27.752029Z,embb,uesimtun0,1821348,36281,9909189670,7231567,,1,1
2025-11-25T15:43:27.752029Z,mmtc,uesimtun1,457215,8055,778801726,573757,1.472,0,1
2025-11-25T15:43:27.752029Z,urllc,uesimtun2,325717,5777,1701848290,11501977,1.932,0,1
2025-11-25T15:43:28.751933Z,embb,uesimtun0,1825116,36356,9921951905,7240903,,1,1
2025-11-25T15:43:28.751933Z,mmtc,uesimtun1,458815,8079,778869682,573831,52.269,0,1
2025-11-25T15:43:28.751933Z,urllc,uesimtun2,326181,5783,1705061242,11523689,1.798,0,1
2025-11-25T15:43:29.752215Z,embb,uesimtun0,1828672,36426,9934719383,7250238,111.613,0,1
2025-11-25T15:43:29.752215Z,mmtc,uesimtun1,458943,8081,779915654,574594,92.424,0,1
2025-11-25T15:43:29.752215Z,urllc,uesimtun2,326734,5792,1707843451,11542492,1.670,0,1
2025-11-25T15:43:30.751450Z,embb,uesimtun0,1831509,36483,9947465482,7259547,,1,1
2025-11-25T15:43:30.751450Z,mmtc,uesimtun1,459973,8100,781239307,575575,99.598,0,1
2025-11-25T15:43:30.751450Z,urllc,uesimtun2,327488,5806,1711374318,11566356,14.863,0,1
2025-11-25T15:43:31.751492Z,embb,uesimtun0,1834820,36548,9960228578,7268875,,1,1
2025-11-25T15:43:31.751492Z,mmtc,uesimtun1,461755,8126,781334717,575668,2.375,0,1
2025-11-25T15:43:31.751492Z,urllc,uesimtun2,328495,5826,1714159687,11585186,1.631,0,1
2025-11-25T15:43:32.779032Z,embb,uesimtun0,1838728,36626,9971588861,7277195,,1,1
2025-11-25T15:43:32.779032Z,mmtc,uesimtun1,462252,8135,781529251,575817,72.161,0,1
2025-11-25T15:43:32.779032Z,urllc,uesimtun2,328875,5831,1717542015,11608042,1.534,0,1
2025-11-25T15:43:33.751933Z,embb,uesimtun0,1843419,36719,9985769325,7287576,,1,1
2025-11-25T15:43:33.751933Z,mmtc,uesimtun1,462990,8150,781711675,575962,66.520,0,1
2025-11-25T15:43:33.751933Z,urllc,uesimtun2,329255,5836,1720527851,11628219,1.391,0,1
2025-11-25T15:43:34.751636Z,embb,uesimtun0,1847673,36805,9998519705,7296912,119.451,0,1
2025-11-25T15:43:34.751636Z,mmtc,uesimtun1,464221,8174,781876738,576102,2.848,0,1
2025-11-25T15:43:34.751636Z,urllc,uesimtun2,329724,5844,1723010424,11644997,2.021,0,1
2025-11-25T15:43:35.752397Z,embb,uesimtun0,1852232,36896,10011298108,7306276,117.464,0,1
2025-11-25T15:43:35.752397Z,mmtc,uesimtun1,465251,8193,782064971,576255,1.722,0,1
2025-11-25T15:43:35.752397Z,urllc,uesimtun2,330859,5865,1726087813,11665801,2.193,0,1
2025-11-25T15:43:36.752165Z,embb,uesimtun0,1856284,36977,10024060972,7315621,,1,1
2025-11-25T15:43:36.752165Z,mmtc,uesimtun1,467328,8228,782187300,576377,1.220,0,1
2025-11-25T15:43:36.752165Z,urllc,uesimtun2,332600,5898,1729580905,11689419,1.536,0,1
2025-11-25T15:43:37.752336Z,embb,uesimtun0,1859816,37047,10036824230,7324952,,1,1
2025-11-25T15:43:37.752336Z,mmtc,uesimtun1,468233,8245,782807692,576845,54.946,0,1
2025-11-25T15:43:37.752336Z,urllc,uesimtun2,332980,5903,1732831153,11711383,1.562,0,1
2025-11-25T15:43:38.751590Z,embb,uesimtun0,1862943,37111,10049577608,7334273,111.307,0,1
2025-11-25T15:43:38.751590Z,mmtc,uesimtun1,468686,8254,783519738,577372,21.160,0,1
2025-11-25T15:43:38.751590Z,urllc,uesimtun2,333566,5915,1735377948,11728597,1.199,0,1
2025-11-25T15:43:39.752220Z,embb,uesimtun0,1865632,37164,10062351078,7343599,,1,1
2025-11-25T15:43:39.752220Z,mmtc,uesimtun1,468982,8258,784464054,578063,2.032,0,1
2025-11-25T15:43:39.752220Z,urllc,uesimtun2,333694,5917,1738834912,11751956,1.586,0,1
2025-11-25T15:43:40.751489Z,embb,uesimtun0,1869565,37242,10075105231,7352931,121.891,0,1
2025-11-25T15:43:40.751489Z,mmtc,uesimtun1,469720,8273,785185871,578600,1.615,0,1
2025-11-25T15:43:40.751489Z,urllc,uesimtun2,333990,5921,1741517412,11770083,1.865,0,1
2025-11-25T15:43:41.752133Z,embb,uesimtun0,1873859,37327,10087878878,7362281,,1,1
2025-11-25T15:43:41.752133Z,mmtc,uesimtun1,470217,8282,786120693,579287,1.921,0,1
2025-11-25T15:43:41.752133Z,urllc,uesimtun2,334868,5937,1745002536,11793639,2.017,0,1
2025-11-25T15:43:42.752468Z,embb,uesimtun0,1877844,37408,10100651022,7371629,,1,1
2025-11-25T15:43:42.752468Z,mmtc,uesimtun1,471754,8305,786331857,579465,2.290,0,1
2025-11-25T15:43:42.752468Z,urllc,uesimtun2,335449,5947,1748086126,11814479,1.383,0,1
2025-11-25T15:43:43.751487Z,embb,uesimtun0,1881576,37481,10113392633,7380949,110.957,0,1
2025-11-25T15:43:43.751487Z,mmtc,uesimtun1,472317,8315,786339359,579480,1.640,0,1
2025-11-25T15:43:43.751487Z,urllc,uesimtun2,335661,5950,1750735094,11832379,1.612,0,1
2025-11-25T15:43:44.751469Z,embb,uesimtun0,1885051,37548,10126158564,7390280,,1,1
2025-11-25T15:43:44.751469Z,mmtc,uesimtun1,472954,8325,786348248,579495,1.868,0,1
2025-11-25T15:43:44.751469Z,urllc,uesimtun2,337261,5979,1754248472,11856132,1.850,0,1
2025-11-25T15:43:45.751841Z,embb,uesimtun0,1888820,37623,10138931767,7399623,,1,1
2025-11-25T15:43:45.751841Z,mmtc,uesimtun1,473792,8340,786357359,579514,1.274,0,1
