ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T15:31:19.083922Z,embb,uesimtun0,130096,2530,2770306952,2015901,,1,1
2025-11-25T15:31:19.083922Z,urllc,uesimtun1,24395,427,259789500,2823980,,1,1
2025-11-25T15:31:19.083922Z,mmtc,uesimtun2,36282,613,63091159,46699,,1,1
2025-11-25T15:31:20.084490Z,embb,uesimtun0,130096,2530,2808634364,2043760,,1,1
2025-11-25T15:31:20.084490Z,urllc,uesimtun1,24395,427,263386620,2863082,,1,1
2025-11-25T15:31:20.084490Z,mmtc,uesimtun2,36282,613,63091527,46705,,1,1
2025-11-25T15:31:21.083881Z,embb,uesimtun0,130096,2530,2846861514,2071549,,1,1
2025-11-25T15:31:21.083881Z,urllc,uesimtun1,24395,427,266982736,2902171,,1,1
2025-11-25T15:31:21.083881Z,mmtc,uesimtun2,36282,613,63091739,46708,,1,1
2025-11-25T15:31:22.084328Z,embb,uesimtun0,130096,2530,2885173670,2099395,,1,1
2025-11-25T15:31:22.084328Z,urllc,uesimtun1,24395,427,270574848,2941217,,1,1
2025-11-25T15:31:22.084328Z,mmtc,uesimtun2,36282,613,63091951,46711,,1,1
2025-11-25T15:31:23.084117Z,embb,uesimtun0,130096,2530,2923455554,2127219,,1,1
2025-11-25T15:31:23.084117Z,urllc,uesimtun1,24395,427,274169376,2980289,,1,1
2025-11-25T15:31:23.084117Z,mmtc,uesimtun2,36282,613,63092307,46716,,1,1
2025-11-25T15:31:24.084166Z,embb,uesimtun0,130096,2530,2961737438,2155043,,1,1
2025-11-25T15:31:24.084166Z,urllc,uesimtun1,24395,427,277764225,3019364,,1,1
2025-11-25T15:31:24.084166Z,mmtc,uesimtun2,36282,613,63092956,46725,,1,1
2025-11-25T15:31:25.083684Z,embb,uesimtun0,130096,2530,2999991915,2182848,,1,1
2025-11-25T15:31:25.083684Z,urllc,uesimtun1,24395,427,281356645,3058413,,1,1
2025-11-25T15:31:25.083684Z,mmtc,uesimtun2,36282,613,63093348,46731,,1,1
2025-11-25T15:31:26.084145Z,embb,uesimtun0,130096,2530,3038293255,2210688,,1,1
2025-11-25T15:31:26.084145Z,urllc,uesimtun1,24395,427,284950657,3097480,,1,1
2025-11-25T15:31:26.084145Z,mmtc,uesimtun2,36282,613,63093392,46732,,1,1
2025-11-25T15:31:27.084163Z,embb,uesimtun0,130096,2530,3076572495,2238511,,1,1
2025-11-25T15:31:27.084163Z,urllc,uesimtun1,24395,427,288546133,3136563,,1,1
2025-11-25T15:31:27.084163Z,mmtc,uesimtun2,36282,613,63093496,46734,,1,1
2025-11-25T15:31:28.083990Z,embb,uesimtun0,130096,2530,3114825423,2266313,,1,1
2025-11-25T15:31:28.083990Z,urllc,uesimtun1,24395,427,292139073,3175618,,1,1
2025-11-25T15:31:28.083990Z,mmtc,uesimtun2,36282,613,63093737,46738,,1,1
2025-11-25T15:31:29.084102Z,embb,uesimtun0,130096,2530,3153129263,2294152,,1,1
2025-11-25T15:31:29.084102Z,urllc,uesimtun1,24395,427,295732705,3214680,,1,1
2025-11-25T15:31:29.084102Z,mmtc,uesimtun2,36282,613,63093949,46741,,1,1
2025-11-25T15:31:30.084083Z,embb,uesimtun0,130096,2530,3191408419,2321974,,1,1
2025-11-25T15:31:30.084083Z,urllc,uesimtun1,24395,427,299328821,3253769,,1,1
2025-11-25T15:31:30.084083Z,mmtc,uesimtun2,36282,613,63094077,46743,,1,1
2025-11-25T15:31:31.084116Z,embb,uesimtun0,130096,2530,3229687491,2349795,,1,1
2025-11-25T15:31:31.084116Z,urllc,uesimtun1,24395,427,302921041,3292816,,1,1
2025-11-25T15:31:31.084116Z,mmtc,uesimtun2,36282,613,63094289,46746,,1,1
2025-11-25T15:31:32.084211Z,embb,uesimtun0,130096,2530,3267970691,2377619,,1,1
2025-11-25T15:31:32.084211Z,urllc,uesimtun1,24395,427,306514781,3331879,,1,1
2025-11-25T15:31:32.084211Z,mmtc,uesimtun2,36282,613,63094585,46750,,1,1
2025-11-25T15:31:33.084136Z,embb,uesimtun0,130096,2530,3306247095,2405439,,1,1
2025-11-25T15:31:33.084136Z,urllc,uesimtun1,24395,427,310109165,3370949,,1,1
2025-11-25T15:31:33.084136Z,mmtc,uesimtun2,36282,613,63094881,46754,,1,1
2025-11-25T15:31:34.084023Z,embb,uesimtun0,130096,2530,3343429579,2432464,,1,1
2025-11-25T15:31:34.084023Z,urllc,uesimtun1,24395,427,313628845,3409207,,1,1
2025-11-25T15:31:34.084023Z,mmtc,uesimtun2,36282,613,63095093,46757,,1,1
2025-11-25T15:31:35.084478Z,embb,uesimtun0,130096,2530,3381748471,2460313,,1,1
2025-11-25T15:31:35.084478Z,urllc,uesimtun1,24395,427,317224477,3448291,,1,1
2025-11-25T15:31:35.084478Z,mmtc,uesimtun2,36282,613,63095221,46759,,1,1
2025-11-25T15:31:36.084102Z,embb,uesimtun0,130096,2530,3420013963,2488127,,1,1
2025-11-25T15:31:36.084102Z,urllc,uesimtun1,24395,427,320816129,3487332,,1,1
2025-11-25T15:31:36.084102Z,mmtc,uesimtun2,36282,613,63095529,46764,,1,1
2025-11-25T15:31:37.083954Z,embb,uesimtun0,130096,2530,3435036570,2499057,,1,1
2025-11-25T15:31:37.083954Z,urllc,uesimtun1,24395,427,324394197,3526225,,1,1
2025-11-25T15:31:37.083954Z,mmtc,uesimtun2,36282,613,63095741,46767,,1,1
2025-11-25T15:31:38.084065Z,embb,uesimtun0,130096,2530,3435037152,2499065,,1,1
2025-11-25T15:31:38.084065Z,urllc,uesimtun1,24395,427,327989017,3565300,,1,1
2025-11-25T15:31:38.084065Z,mmtc,uesimtun2,36282,613,63095953,46770,,1,1
2025-11-25T15:31:39.084254Z,embb,uesimtun0,130096,2530,3435037477,2499070,,1,1
2025-11-25T15:31:39.084254Z,urllc,uesimtun1,24395,427,331582833,3604364,,1,1
2025-11-25T15:31:39.084254Z,mmtc,uesimtun2,36282,613,63096141,46773,,1,1
2025-11-25T15:31:40.084319Z,embb,uesimtun0,130096,2530,3435037809,2499075,,1,1
2025-11-25T15:31:40.084319Z,urllc,uesimtun1,24395,427,335176833,3643430,,1,1
2025-11-25T15:31:40.084319Z,mmtc,uesimtun2,36282,613,63096365,46777,,1,1
2025-11-25T15:31:41.084186Z,embb,uesimtun0,130096,2530,3435037990,2499078,,1,1
2025-11-25T15:31:41.084186Z,urllc,uesimtun1,24395,427,338771261,3682501,,1,1
2025-11-25T15:31:41.084186Z,mmtc,uesimtun2,36282,613,63096673,46782,,1,1
2025-11-25T15:31:42.084023Z,embb,uesimtun0,130096,2530,3435038208,2499081,,1,1
2025-11-25T15:31:42.084023Z,urllc,uesimtun1,24395,427,342366401,3721580,,1,1
2025-11-25T15:31:42.084023Z,mmtc,uesimtun2,36282,613,63096969,46786,,1,1
2025-11-25T15:31:43.084056Z,embb,uesimtun0,130096,2530,3435038252,2499082,,1,1
2025-11-25T15:31:43.084056Z,urllc,uesimtun1,24395,427,345958749,3760629,,1,1
2025-11-25T15:31:43.084056Z,mmtc,uesimtun2,36282,613,63097325,46791,,1,1
2025-11-25T15:31:44.083820Z,embb,uesimtun0,130096,2530,3435038380,2499084,,1,1
2025-11-25T15:31:44.083820Z,urllc,uesimtun1,24395,427,349554237,3799711,,1,1
2025-11-25T15:31:44.083820Z,mmtc,uesimtun2,36282,613,63097621,46795,,1,1
2025-11-25T15:31:45.083914Z,embb,uesimtun0,130096,2530,3435038598,2499087,,1,1
2025-11-25T15:31:45.083914Z,urllc,uesimtun1,24395,427,353147829,3838773,,1,1
2025-11-25T15:31:45.083914Z,mmtc,uesimtun2,36282,613,63097977,46800,,1,1
2025-11-25T15:31:46.084178Z,embb,uesimtun0,130096,2530,3435038947,2499092,,1,1
2025-11-25T15:31:46.084178Z,urllc,uesimtun1,24395,427,356705781,3877447,,1,1
2025-11-25T15:31:46.084178Z,mmtc,uesimtun2,36282,613,63098105,46802,,1,1
2025-11-25T15:31:47.083702Z,embb,uesimtun0,130096,2530,3435039327,2499097,,1,1
2025-11-25T15:31:47.083702Z,urllc,uesimtun1,24395,427,360296014,3916472,,1,1
2025-11-25T15:31:47.083702Z,mmtc,uesimtun2,36282,613,63098149,46803,,1,1
2025-11-25T15:31:48.084067Z,embb,uesimtun0,130096,2530,3435039623,2499101,,1,1
2025-11-25T15:31:48.084067Z,urllc,uesimtun1,24395,427,363893954,3955581,,1,1
2025-11-25T15:31:48.084067Z,mmtc,uesimtun2,36282,613,63098193,46804,,1,1
2025-11-25T15:31:49.083869Z,embb,uesimtun0,130096,2530,3435039840,2499104,,1,1
2025-11-25T15:31:49.083869Z,urllc,uesimtun1,24395,427,367486590,3994632,,1,1
2025-11-25T15:31:49.083869Z,mmtc,uesimtun2,36282,613,63098494,46808,,1,1
2025-11-25T15:31:50.084373Z,embb,uesimtun0,130096,2530,3435039968,2499106,,1,1
2025-11-25T15:31:50.084373Z,urllc,uesimtun1,24395,427,371072954,4033615,,1,1
2025-11-25T15:31:50.084373Z,mmtc,uesimtun2,36282,613,63098622,46810,,1,1
2025-11-25T15:31:51.084134Z,embb,uesimtun0,130096,2530,3435040096,2499108,,1,1
2025-11-25T15:31:51.084134Z,urllc,uesimtun1,24395,427,374674366,4072762,,1,1
2025-11-25T15:31:51.084134Z,mmtc,uesimtun2,36282,613,63098750,46812,,1,1
2025-11-25T15:31:52.083869Z,embb,uesimtun0,130096,2530,3435040224,2499110,,1,1
2025-11-25T15:31:52.083869Z,urllc,uesimtun1,24395,427,378269938,4111845,,1,1
