Source,SS,DF1,DF2,MS,F,p_unc,p_GG_corr,np2,eps,sphericity,W_spher,p_spher
orch,1.7795470572870886,1,4,1.7795470572870886,0.16793203227593653,0.7029528369821989,,0.040291451726057956,,,,
level,2.1509899036660776,2,8,1.0754949518330388,1.1030333811530066,0.3775081467742574,0.330974656138785,0.2161524918153252,0.5460135143460028,False,0.1685434998843345,0.028406911353260678
Interaction,1.341395342947834,2,8,0.670697671473917,0.687871122999163,0.5300749858030291,,0.14673422219830207,,,,
