ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:32.291722Z,embb,uesimtun0,10.45.0.2,405480,8355,4238383676,3087084,1.691,0,1
2025-12-09T08:44:32.291722Z,urllc,uesimtun2,10.46.0.2,11793,273,17914,316,2.068,0,1
2025-12-09T08:44:32.291722Z,mmtc,uesimtun1,10.47.0.2,17893,427,1919704,32013,92.076,0,1
2025-12-09T08:44:32.541997Z,embb,uesimtun0,10.45.0.2,405902,8363,4241580681,3089417,1.478,0,1
2025-12-09T08:44:32.541997Z,urllc,uesimtun2,10.46.0.2,11958,276,18158,321,1.054,0,1
2025-12-09T08:44:32.541997Z,mmtc,uesimtun1,10.47.0.2,18110,431,1919988,32019,7.615,0,1
2025-12-09T08:44:32.791823Z,embb,uesimtun0,10.45.0.2,406741,8380,4244761565,3091745,1.207,0,1
2025-12-09T08:44:32.791823Z,urllc,uesimtun2,10.46.0.2,12215,281,18502,328,1.586,0,1
2025-12-09T08:44:32.791823Z,mmtc,uesimtun1,10.47.0.2,18327,435,1945472,32445,104.461,0,1
2025-12-09T08:44:33.041621Z,embb,uesimtun0,10.45.0.2,406906,8383,4247962385,3094076,1.842,0,1
2025-12-09T08:44:33.041621Z,urllc,uesimtun2,10.46.0.2,12432,285,18786,334,1.040,0,1
2025-12-09T08:44:33.041621Z,mmtc,uesimtun1,10.47.0.2,18492,438,1945716,32450,6.677,0,1
2025-12-09T08:44:33.291936Z,embb,uesimtun0,10.45.0.2,409222,8431,4251153107,3096436,1.794,0,1
2025-12-09T08:44:33.291936Z,urllc,uesimtun2,10.46.0.2,12597,288,19030,339,1.829,0,1
2025-12-09T08:44:33.291936Z,mmtc,uesimtun1,10.47.0.2,18749,443,1962860,32737,,1,1
2025-12-09T08:44:33.541511Z,embb,uesimtun0,10.45.0.2,410306,8453,4254335621,3098769,1.532,0,1
2025-12-09T08:44:33.541511Z,urllc,uesimtun2,10.46.0.2,12814,292,19314,345,1.053,0,1
2025-12-09T08:44:33.541511Z,mmtc,uesimtun1,10.47.0.2,18849,445,1963020,32740,3.490,0,1
2025-12-09T08:44:33.792041Z,embb,uesimtun0,10.45.0.2,410780,8462,4257535358,3101104,1.867,0,1
2025-12-09T08:44:33.792041Z,urllc,uesimtun2,10.46.0.2,13031,296,19598,351,1.802,0,1
2025-12-09T08:44:33.792041Z,mmtc,uesimtun1,10.47.0.2,19066,449,1988504,33166,189.967,0,1
2025-12-09T08:44:34.041567Z,embb,uesimtun0,10.45.0.2,410945,8465,4260711410,3103417,1.442,0,1
2025-12-09T08:44:34.041567Z,urllc,uesimtun2,10.46.0.2,13196,299,19842,356,1.451,0,1
2025-12-09T08:44:34.041567Z,mmtc,uesimtun1,10.47.0.2,19126,450,1988668,33169,6.016,0,1
2025-12-09T08:44:34.291475Z,embb,uesimtun0,10.45.0.2,412804,8503,4263907132,3105772,1.217,0,1
2025-12-09T08:44:34.291475Z,urllc,uesimtun2,10.46.0.2,13453,304,20186,363,2.053,0,1
2025-12-09T08:44:34.291475Z,mmtc,uesimtun1,10.47.0.2,19448,456,2005832,33457,94.738,0,1
2025-12-09T08:44:34.541504Z,embb,uesimtun0,10.45.0.2,414020,8528,4267096682,3108113,1.915,0,1
2025-12-09T08:44:34.541504Z,urllc,uesimtun2,10.46.0.2,13618,307,20430,368,1.057,0,1
2025-12-09T08:44:34.541504Z,mmtc,uesimtun1,10.47.0.2,19665,460,2006116,33463,6.432,0,1
2025-12-09T08:44:34.791791Z,embb,uesimtun0,10.45.0.2,414470,8537,4270297808,3110449,2.022,0,1
2025-12-09T08:44:34.791791Z,urllc,uesimtun2,10.46.0.2,13783,310,20674,373,1.863,0,1
2025-12-09T08:44:34.791791Z,mmtc,uesimtun1,10.47.0.2,19962,466,2031720,33891,,1,1
2025-12-09T08:44:35.041657Z,embb,uesimtun0,10.45.0.2,414687,8541,4273490412,3112775,1.833,0,1
2025-12-09T08:44:35.041657Z,urllc,uesimtun2,10.46.0.2,14000,314,20958,379,3.632,0,1
2025-12-09T08:44:35.041657Z,mmtc,uesimtun1,10.47.0.2,20022,467,2031820,33893,4.819,0,1
2025-12-09T08:44:35.291481Z,embb,uesimtun0,10.45.0.2,416028,8568,4276671815,3115111,2.627,0,1
2025-12-09T08:44:35.291481Z,urllc,uesimtun2,10.46.0.2,14297,320,21362,387,1.732,0,1
2025-12-09T08:44:35.291481Z,mmtc,uesimtun1,10.47.0.2,20239,471,2048904,34179,5.606,0,1
2025-12-09T08:44:35.541677Z,embb,uesimtun0,10.45.0.2,417180,8592,4279870957,3117458,2.623,0,1
2025-12-09T08:44:35.541677Z,urllc,uesimtun2,10.46.0.2,14462,323,21606,392,1.831,0,1
2025-12-09T08:44:35.541677Z,mmtc,uesimtun1,10.47.0.2,20496,476,2049248,34186,3.116,0,1
2025-12-09T08:44:35.792247Z,embb,uesimtun0,10.45.0.2,417630,8601,4283062451,3119787,1.798,0,1
2025-12-09T08:44:35.792247Z,urllc,uesimtun2,10.46.0.2,14627,326,21850,397,1.720,0,1
2025-12-09T08:44:35.792247Z,mmtc,uesimtun1,10.47.0.2,20713,480,2074732,34612,,1,1
2025-12-09T08:44:36.041707Z,embb,uesimtun0,10.45.0.2,417795,8604,4286255015,3122112,2.261,0,1
2025-12-09T08:44:36.041707Z,urllc,uesimtun2,10.46.0.2,14844,330,22134,403,2.444,0,1
2025-12-09T08:44:36.041707Z,mmtc,uesimtun1,10.47.0.2,20713,480,2074792,34613,102.371,0,1
2025-12-09T08:44:36.292010Z,embb,uesimtun0,10.45.0.2,418827,8625,4289441616,3124447,1.285,0,1
2025-12-09T08:44:36.292010Z,urllc,uesimtun2,10.46.0.2,15009,333,22378,408,1.902,0,1
